,id,наименование,дата,аппарат,количество,машиночас
0,4,Алтайский край,2018-4,Ziesel,0,1664
1,5,Алтайский край,2018-5,Ziesel,0,1664
2,6,Алтайский край,2018-6,Ziesel,1,1664
3,7,Алтайский край,2018-7,Ziesel,5,1664
4,8,Алтайский край,2018-8,Ziesel,17,1664
5,9,Алтайский край,2018-9,Ziesel,28,1664
6,10,Алтайский край,2018-10,Ziesel,38,1664
7,11,Алтайский край,2018-11,Ziesel,37,1664
8,12,Алтайский край,2018-12,Ziesel,30,1664
9,14,Алтайский край,2018-2,DTV Shredder,0,1606
10,17,Алтайский край,2018-5,DTV Shredder,0,1606
11,18,Алтайский край,2018-6,DTV Shredder,1,1606
12,19,Алтайский край,2018-7,DTV Shredder,5,1606
13,20,Алтайский край,2018-8,DTV Shredder,14,1606
14,21,Алтайский край,2018-9,DTV Shredder,23,1606
15,22,Алтайский край,2018-10,DTV Shredder,34,1606
16,23,Алтайский край,2018-11,DTV Shredder,39,1606
17,24,Алтайский край,2018-12,DTV Shredder,32,1606
18,28,Алтайский край,2018-4,Ripsaw,0,2572
19,29,Алтайский край,2018-5,Ripsaw,0,2572
20,30,Алтайский край,2018-6,Ripsaw,2,2572
21,31,Алтайский край,2018-7,Ripsaw,5,2572
22,32,Алтайский край,2018-8,Ripsaw,12,2572
23,33,Алтайский край,2018-9,Ripsaw,25,2572
24,34,Алтайский край,2018-10,Ripsaw,32,2572
25,35,Алтайский край,2018-11,Ripsaw,34,2572
26,36,Алтайский край,2018-12,Ripsaw,24,2572
27,41,Амурская область,2018-5,Energiser505,0,363
28,42,Амурская область,2018-6,Energiser505,1,363
29,43,Амурская область,2018-7,Energiser505,3,363
30,44,Амурская область,2018-8,Energiser505,8,363
31,45,Амурская область,2018-9,Energiser505,15,363
32,46,Амурская область,2018-10,Energiser505,21,363
33,47,Амурская область,2018-11,Energiser505,22,363
34,48,Амурская область,2018-12,Energiser505,19,363
35,51,Амурская область,2018-3,Traxporter,0,4059
36,53,Амурская область,2018-5,Traxporter,0,4059
37,54,Амурская область,2018-6,Traxporter,1,4059
38,55,Амурская область,2018-7,Traxporter,3,4059
39,56,Амурская область,2018-8,Traxporter,10,4059
40,57,Амурская область,2018-9,Traxporter,17,4059
41,58,Амурская область,2018-10,Traxporter,27,4059
42,59,Амурская область,2018-11,Traxporter,27,4059
43,60,Амурская область,2018-12,Traxporter,20,4059
44,63,Амурская область,2018-3,Ziesel,0,1734
45,64,Амурская область,2018-4,Ziesel,0,1734
46,65,Амурская область,2018-5,Ziesel,0,1734
47,66,Амурская область,2018-6,Ziesel,1,1734
48,67,Амурская область,2018-7,Ziesel,4,1734
49,68,Амурская область,2018-8,Ziesel,8,1734
50,69,Амурская область,2018-9,Ziesel,18,1734
51,70,Амурская область,2018-10,Ziesel,26,1734
52,71,Амурская область,2018-11,Ziesel,27,1734
53,72,Амурская область,2018-12,Ziesel,20,1734
54,76,Архангельская область,2018-4,Energiser505,0,348
55,77,Архангельская область,2018-5,Energiser505,0,348
56,78,Архангельская область,2018-6,Energiser505,6,348
57,79,Архангельская область,2018-7,Energiser505,15,348
58,80,Архангельская область,2018-8,Energiser505,37,348
59,81,Архангельская область,2018-9,Energiser505,70,348
60,82,Архангельская область,2018-10,Energiser505,96,348
61,83,Архангельская область,2018-11,Energiser505,90,348
62,84,Архангельская область,2018-12,Energiser505,70,348
63,89,Архангельская область,2018-5,Red BUG CT500,0,636
64,90,Архангельская область,2018-6,Red BUG CT500,3,636
65,91,Архангельская область,2018-7,Red BUG CT500,12,636
66,92,Архангельская область,2018-8,Red BUG CT500,33,636
67,93,Архангельская область,2018-9,Red BUG CT500,57,636
68,94,Архангельская область,2018-10,Red BUG CT500,72,636
69,95,Архангельская область,2018-11,Red BUG CT500,77,636
70,96,Архангельская область,2018-12,Red BUG CT500,77,636
71,101,Астраханская область,2018-5,Energiser505,0,350
72,102,Астраханская область,2018-6,Energiser505,0,350
73,103,Астраханская область,2018-7,Energiser505,1,350
74,104,Астраханская область,2018-8,Energiser505,4,350
75,105,Астраханская область,2018-9,Energiser505,7,350
76,106,Астраханская область,2018-10,Energiser505,9,350
77,107,Астраханская область,2018-11,Energiser505,10,350
78,108,Астраханская область,2018-12,Energiser505,7,350
79,113,Астраханская область,2018-5,Red BUG CT500,0,630
80,114,Астраханская область,2018-6,Red BUG CT500,0,630
81,115,Астраханская область,2018-7,Red BUG CT500,1,630
82,116,Астраханская область,2018-8,Red BUG CT500,4,630
83,117,Астраханская область,2018-9,Red BUG CT500,7,630
84,118,Астраханская область,2018-10,Red BUG CT500,10,630
85,119,Астраханская область,2018-11,Red BUG CT500,11,630
86,120,Астраханская область,2018-12,Red BUG CT500,8,630
87,124,Белгородская область,2018-4,Energiser505,0,357
88,125,Белгородская область,2018-5,Energiser505,0,357
89,126,Белгородская область,2018-6,Energiser505,1,357
90,127,Белгородская область,2018-7,Energiser505,4,357
91,128,Белгородская область,2018-8,Energiser505,13,357
92,129,Белгородская область,2018-9,Energiser505,23,357
93,130,Белгородская область,2018-10,Energiser505,32,357
94,131,Белгородская область,2018-11,Energiser505,38,357
95,132,Белгородская область,2018-12,Energiser505,23,357
96,137,Белгородская область,2018-5,Traxporter,0,4078
97,138,Белгородская область,2018-6,Traxporter,3,4078
98,139,Белгородская область,2018-7,Traxporter,6,4078
99,140,Белгородская область,2018-8,Traxporter,12,4078
100,141,Белгородская область,2018-9,Traxporter,24,4078
101,142,Белгородская область,2018-10,Traxporter,32,4078
102,143,Белгородская область,2018-11,Traxporter,37,4078
103,144,Белгородская область,2018-12,Traxporter,25,4078
104,148,Белгородская область,2018-4,Ziesel,0,1728
105,149,Белгородская область,2018-5,Ziesel,0,1728
106,150,Белгородская область,2018-6,Ziesel,1,1728
107,151,Белгородская область,2018-7,Ziesel,5,1728
