,object,paper,work_engineer,contractor_time,customer_time,officials_time,trips,control
0,км 70+384,5994,8000,5374,4762,4112,6647,7255
1,км 72+215,6588,7787,4044,2519,7454,3040,4568
2,км 75+004,5269,8957,5886,6208,2681,4966,4247
3,км 78+315,5442,3796,4254,4620,5517,4375,5719
4,км 87+325,4942,6526,4615,4795,6791,4502,4605
5,км 92+568,4419,5811,4690,4824,6005,6251,6266
6,км 95+125,4608,7971,5423,3536,4586,6295,4807
7,км 102+870,3854,4548,6025,5373,3815,4760,4001
8,км 109+814,6979,5897,5007,3961,6454,4838,5585
9,км 112+155,4070,5901,5266,5485,6823,4385,6220
10,км 126+235,5053,5585,4464,6227,4313,6922,6019
11,км 127+235,4619,4952,5512,4881,4309,4141,2966
12,км 129+478,5585,4591,4299,5628,3950,4426,5242
13,км 135+175,7266,7144,5733,6201,5178,4095,4514
14,км 136+148,5464,8032,3397,3778,6274,5074,6766
